Player,VPIP,PFR,3Bet Total,All-In Adj BB
dougladeal,56.86,5.88,0,-48.83
doulas12,39.91,20.4,6.31,333.28
Dovmont-60,32.59,19.12,8.27,164.09
dozent 23,38.57,21.89,11.78,-727.42
Dr. Emerson,46.38,24.47,3.52,23.41
Dr.Angry,43.9,34.15,23.08,-164.84
Dr.Eldoradon,46.82,27.93,3.98,36.08
Dr.GRIVAS,55.88,32.35,5,-302.57
Dr.Mat88,44.44,33.33,33.33,39.96
dr.sary,37.66,5.19,2.38,-6.38
dr00wid,77.78,33.33,25,-61.45
dr64,46.54,25.53,3.57,88.33
DR_Pumpe,41.57,31.82,33.33,56.88
draggstar,42.86,22.45,5.88,-210.66
dragon tai,93.32,12.34,4.69,-299.1
Dragon_Siug,57.66,5.41,3.03,-76.21
dragonfish76,60,40,16.67,17.32
dragonhenry,33.33,16.67,0,-14.82
dragonxxx47,16.67,0,0,-10.12
dragoo_star,41.67,18.06,14.63,-183.93
Drama85938,60,40,33.33,-136.14
DrAnubis,32.84,14.94,7.26,-165.77
dranzDeviL,57.14,14.29,0,-8.38
Draw Heavy,47.31,9.14,0.98,-136.55
DrawingBad,75.56,54.31,28.46,-1272.27
DrawKingg,35.77,18.73,2.22,-349.9
DrawSemaj,50,0,0,68.86
drcris11,58.33,33.33,0,-84.17
dreamcatch7,70.59,11.76,14.29,-36.14
DReeamzoo,57.14,28.57,25,-2.5
drejapo,70,6.67,9.52,-77.78
Drento18,55.36,40.18,17.39,-69.34
Drewfus81,36.69,21.68,5.63,77.28
DrGogo,0,0,0,-4.5
Dri_Pant,31.58,5.26,0,-27.66
drifter_0089,83.33,16.67,20,47.06
driller40,30.05,16.4,4.69,-322.73
Driloni 0),50,0,0,-4.58
driss 1974,100,60,33.33,-39.65
Dristardr,41.86,27.91,5.56,-143.11
drivemynuts,34.29,17.14,5.88,54.23
driveyounuts,50,21.43,0,26.98
drnobre,32.11,18.16,4.84,-421.67
Drochba,31.91,17.67,7.82,5619.62
drogba4444,31.93,20,4.51,-68.66
drohse1,59.73,30.87,8.57,-426.88
drop77,30.16,11.11,0,-17.77
droulis9,65.79,36.84,6.25,-40.76
drova10,37.5,12.5,25,-87.25
DrunkDanee,42.86,22.86,0,31.05
drygo 1,61.67,30,10.34,130.6
DS604,45.45,9.09,7.69,-19.39
dsami2,76.74,23.26,8.33,-143.78
dsaz1973,46.45,31.03,12.02,174.93
dsl2605,86.36,13.64,7.69,-92.94
DSQCOCO,44.44,22.22,10,-78.44
DTAA999,0,0,0,-1.2
dtan88,45,35,11.11,-5.99
dtsa15,66.67,4.17,0,64.38
Dublinea,50,29.17,8.82,325.54
dubsafe,50,0,0,-66.12
duca202,60.35,8.71,9.9,-673.91
ducaticvcc,44.07,28.81,8.33,-36.45
duckster1948,11.32,9.43,0,22.24
DuduFil,100,40,25,-80
duffm0n,55.56,22.22,0,8.46
dugui74,39.13,24.56,19.3,-145.23
dukepro1,23.56,13.09,2.11,76.25
dumbastar,34.75,19.74,8.19,-485.27
Dundermåsen,25,18.75,0,12.63
dunphi,29.36,17.76,5.6,-93.8
duny-sha,38.5,27.49,14.45,20.53
dunya2007,87.5,25,10,-153.55
Durazel10,75,8.33,10,16.29
Durian,35.79,17.49,6.79,-1908.09
DuroDeRoer77,57.84,20.59,7.37,-88.08
durrinho,34.59,15.72,0,-94.63
duscam,33.33,0,0,-13
dusicinko811,66.87,0.61,0,-189.91
Dutchie22888,36.84,18.42,0,63.62
dutchkiwi76,0,0,0,1.66
duubadaaba,31.29,17.12,9.21,-562.01
duunari,80,60,0,-38.2
DVA_TUZZAA,63.89,52.78,29.41,-87.35
dvx256,87.34,15.19,5.26,-99.35
dw8998,19.44,11.11,0,-28.2
Dwalk112,41.18,24.61,11.42,1071.38
dybkjaar,46.79,3.29,2.67,-219.27
dynamite1,72.45,25.28,12.06,57.21
DynamoQ,53.13,25,0,-42.38
dyno52,33.33,33.33,0,2.35
dynoalot,31.42,20.09,9.6,-22.08
dz0ki,46.05,26.54,11.06,-165.63
dzhagadhzaga,40,20,0,-17.66
dzi3oulba,55.56,55.56,50,-23.74
Dziunglinis,100,50,0,-50.46
dêjâvu,40.38,15.38,16.13,-17.1
e.u.e.w.b.,35.92,20.42,6.5,142.05
e1234s,41.46,21.95,0,-42.13
e1mdopp,44.44,33.33,20,-20.37
E_Golddigger,53.52,35.21,8.82,-58.27
EAGLEMAN 77,75,25,10,-68.64
Eagles Five,40.43,12.77,0,-133.2
eardleym,27.59,17.24,5.71,22.24
EasyForEx,51.9,8.86,0,-153.29
Easyjenny666,72.73,12.12,0,-2.74
eatmenuts88,44.44,22.22,0,19.63
EAV-DP,50.58,33.92,3.95,136.8
Eazy Monroe,51.49,14.18,8,48.94
eazyduzit04,38.46,23.08,0,-9.95
eazyemad,74.07,48.92,20.6,-1494.6
Ebbuten,90.91,63.64,0,-60.17
ebrahimi,35.2,16.8,2.08,-130.28
Echos8lifes,43.75,0,0,18.77
ecta4482,35.33,18.91,7.09,6776.32
Ecto Fun,41.67,25,9.09,-117.5
Ecto_M80,60,40,0,24.61
Ector,60,40,14.29,-0.91
edbighead,38.3,23.4,5.56,115.14
eddiek88,36.27,27.45,15.69,-276.17
eddy_fred666,77.78,55.56,33.33,-71.43
eddyfreier,70,35.79,8.43,443.23
EddyJerry,50,0,0,-30.07
eddymaksoud,20.16,10.08,3.6,-64.15
EdenR,61.53,37.45,14.81,175.47
Edgy420,62.69,37.31,6.06,30.4
EdikLem,51.72,27.59,6.67,-100.86
EDMAIA1980,33.78,2.74,0,-56.75
EDSON4,55.56,0,0,9.22
edtpkr,72.73,9.09,0,7.09
edudrake1987,50,40,50,-16.58
Eduj 781,52.04,10.86,3.77,-205.56
EDWARDHOPPER,31.16,18.75,7.47,-554.56
EdwinFoster,44.99,29.56,25.47,-551.29
edwlem628,50,25,25,-40
EEE27,31.48,18.28,8.52,3097.8
eeeZyrider10,25,11.36,5.56,-35.08
efol89,27.58,16.44,7.54,57.01
egalois11,10.71,3.57,0,-20.5
eh7077,58.96,24.28,6.19,11.52
ehcm1,48.19,22.89,4.65,45.7
EICameIeonFR,73.26,53.49,31.82,-221.87
eightfour848,60.87,2.9,0,53.17
Eile88,57.41,25,9.84,-262.43
Einar75,43.75,6.25,9.09,9.71
EIREMAN94,77.17,23.62,3.95,-107.35
ejse,68.75,6.25,8.33,-38.8
ekenbagarn,43.8,19.57,2.1,84.37
Ekmalian,37.43,19.76,5.16,-289.01
EKSUS2,28.24,12.09,4.8,-544.62
El Braulin,47.69,33.85,8,-122.53
el cnquista,41.97,25.08,8.05,-608.69
El Niño 55,32.5,20.07,8.95,33.03
EL PEZÃO,25.49,11.11,5.97,-114.74
EL TORO XXX,92.59,44.44,14.29,18.05
el-alminho,28.57,14.29,25,-8.85
el-matado548,31.25,15.63,18.75,43.61
el-negro590,25,25,0,-12.5
el_tali0,100,0,50,75.56
elanja,38.44,16.94,8.84,-383.3
elberchina10,26.23,14.75,1.96,-46.97
ElcioVerdao,62.5,0,0,-80
elcoysa,37.16,15.54,10.29,573.94
eldadan,28.57,9.52,0,-2.65
ElDocIAH,48.56,14.03,2.07,133.26
elemnop1,43.97,25.89,10.22,168.08
Elena.Dy,38.46,26.92,20,5.4
EleniAlin,58.06,32.26,0,39.95
elenizin,60,10,0,19.34
elenu1988,58.06,29.03,3.13,-205.72
ELETHEGREAT,40,20,0,41.03
elgatrumberu,0,0,0,0
ElGordoMATA,0,0,0,0.9
elgrandax,63.27,14.29,0,-15.15
Eliabrig,42.86,16.72,4.79,-250.74
eliane,39.37,28.84,16,-160.7
elias1khoury,56.66,3.58,3.93,-2.12
eliasgp,57.89,31.58,28.57,-135.7
ELIASMM58,41.67,5.56,0,-10.04
EliBooM11,100,50,33.33,14.85
elie2600,59.12,7.01,2.61,-1176.82
ELIEMICHEL,55.17,6.9,0,-86.72
elik567,36.54,21.15,4.26,-27.43
eliminate me,41.18,41.18,14.29,7
elione_poker,62.5,37.5,40,23.55
Elite Tim,25,25,0,-7
EliteB07,41.67,16.67,0,-27.35
EliteEvil,47.47,17.97,11.11,-231.09
elitub,72.73,0,0,-33.97
ElJardi,33.33,11.11,16.67,0.25
ELLA_ELIAS,73.15,34.52,25.57,-161.76
EllaGN,68.37,39,12.77,-1986.7
ELLASELLINON,23.08,0,0,-8.2
ellisplus,23.81,9.52,0,-4.33
Elliterate,21.05,17.54,5,-9.73
Elmoritojuan,52.63,42.11,25,-104.55
elpaisa77730,57.14,11.76,2.7,123.88
eltiobilo8,60,0,0,-42.13
elymint,32.48,18.16,7.99,-2276.36
elyoshka,50.36,14.39,9.55,-96.07
Elysium27,40.06,21.41,4.73,-232.24
ElÜblo,84.62,0,0,-78.67
embutino,100,100,0,2.46
emdieciocho,60.98,43.9,20,-4.57
emfrka871,38,22,4.55,84.23
EmileDanko,25.64,10.26,0,-54.27
EMILIANA05,72.07,43.24,16.67,-167.34
Emily Scottt,28.32,15.04,5.26,-44.72
Emorchoo,26.42,15.09,3.57,59.81
Empire2000,28.79,13.97,4.91,224.55
emptyspot,50,50,50,-116.21
emra20,87.5,12.5,0,27.59
Emrahdomurcu,90.91,13.64,6.67,-5.56
emran86,66.67,66.67,100,-47.24
EMU*,19.64,3.57,0,-79
en kopp te,18.18,0,0,-13.11
enca_lean,41.79,23.88,12.5,-35.26
endersgame21,80,20,0,29.32
endycrime,59.46,27.03,8.7,-37.26
energiahunt,37.14,28.57,20,-50.39
englishrain,66.67,50,50,-62.71
enisozkan,64.29,50,60,-118.53
Enkil2013,58.33,5,0,34.05
ENNSH,51.85,7.41,0,47.24
enternwin,47.06,30.88,9.38,-141.55
Envy Juelz,44.44,25.56,5.88,110.39
eoc9585,100,16.67,20,-41.22
Ephez,7.14,7.14,0,-12.3
epithaph,50,15.38,0,-79.42
EPUBLI2005,47.46,24.55,11.2,-929.37
ERB33,38.89,12.96,9.38,-111.29
Erezesic,23.53,2.94,0,77.18
Eric77112,40.19,18.37,6.32,-56.52
ERMIS22,40,40,50,25.45
Es3by,100,40,0,-21.2
Esben7,38.4,17.6,12,-110.22
escobar,100,50,50,15.84
escobar1704,100,79.31,37.5,-242.54
esox061266,47.06,3.92,5.26,-172.24
EspBju,61.11,22.22,0,-33.93
EspenasApart,36.77,20.14,9.92,519.96
Essingen,40.91,21.59,2.7,-9.09
esso3000,40,0,0,2.51
Essu123,64,52,16.67,-64.31
Est-Ace,47.83,30.43,10,1.71
Estepona137,50.81,15.86,10.55,224.74
Estergent,62.5,62.5,50,-3.07
etc9156,100,100,0,-18.17
etracker510,43.5,2.69,4.07,-209.76
Ettan,33.33,16.67,0,-39.03
etycy,50,0,0,-46.2
eugis T,31.25,6.25,20,-7.4
euro*ish,42.86,10.71,5.88,-53.24
Euroman,68.29,39.02,15.79,-169.94
EvanSta,50,0,0,-4.5
EviImonk.3y,28.26,13.04,2.38,68.99
Evil-dead24,92.86,35.71,27.27,-99.14
evrus909,36.89,23.3,6.52,-39.5
ewqwqe,20,0,0,-3.27
Exam860,27.27,9.09,0,9.48
exgirlfriend,54.14,20.58,8.98,462.07
Exitplz,43.18,20.45,12.24,6.63
ExorcistMGDN,20.56,11.22,2.27,-15.84
ExtasyGanja,33.33,16.67,0,33.46
EXTRA-VOLUME,65.52,22.41,0,17.93
ExtremeUA,27.43,21.45,4.91,-242.39
exzlator,30.14,7.89,4.81,-82.81
ezio_marcos,60.76,11.39,2.27,35.29
EzPaTuLa,31.41,17.93,9.7,174.26
F.Briatore,36.94,12.61,5.93,-3.88
F.LamZard,70.59,38.24,11.11,-148.38
F1Gaz,20.81,6.36,0,81.42
F1nntroll,38.19,21.92,12.2,5442.06
f1nsf4n7,39.78,27.96,20,53.95
f1power1,33.33,16.67,0,-125.33
F1sh7644,77.42,25.81,2.63,-271.71
F_sevek,40.85,31.69,7.02,-92.75
F_Spieler,27.46,7.23,1.63,-47.49
FA_Morgoth,34.72,23.61,13.33,88.92
Fabahaba,32.77,18.94,8.76,-148.61
fabinhopkr,29.94,10.49,4.49,251.2
FabioF90,60.94,10.16,0.73,-140.69
fadhilfarag,51.33,5.32,5.13,-56.12
fadiamir,90.24,26.83,10.71,-375.75
FAILOSES,47.06,11.76,0,53.95
Faith#1Virtu,49.12,24.56,10.71,162.66
faizler,23.53,5.88,10,-20.93
FaKeOrReaL,40.25,26.23,11.91,-579.86
falco_lucky7,32.03,18.1,7.01,470.54
falcon8978,33.33,17.39,9.09,-20.8
Famai,41.94,17.74,0,-16.27
fanaticbluff,40.42,19.16,5.99,13.17
fanaticos72,43.27,8.98,5.08,424.38
fanccy,85.29,20.59,17.86,147.9
fane1950,40,31.43,7.41,-90.48
fangjian888,100,33.33,33.33,-80.99
FanToMa_xD,52.82,29.24,3.79,-665.25
fapk2212,37.5,10.42,4.55,20.64
faraon1971,72.73,18.18,5.88,-67.98
fariajr605,76.47,20.59,9.09,-87.15
faridsemen,83.33,48.94,15.38,-255.83
Farik287,46.67,6.67,5.88,-141.14
FataMorganaX,29.32,15.5,6.64,-582.71
fatgreek64,52.98,8.07,2.94,-232.96
Fatih666,37.94,20.88,7.98,93.4
FatMarlon1,45.98,13.79,4.08,11.99
FattieQ,22.22,11.11,0,-18.68
fattypants22,37.25,18.63,4.08,-121.7
Faulken,25.33,17.33,5.21,-31.78
fauziamir,79.27,23.83,16.36,-307.3
favio otero,93.15,16.1,1.48,-584.26
fawspty,68.37,28.06,6.1,10.66
Fayedden,56.35,29.34,8.2,-305.35
fbac780,27.93,14.31,4.8,-334.24
FBI_FaCa0,81.82,45.45,0,-78.84
fc19880608,43.51,21.43,4.35,-76.15
FCBruno,83.12,11.69,8.26,244.17
fedd007,52.27,6.82,0,49.38
feedmemore2,31.97,23.77,2.08,-24.81
feedmeplzz,68.25,14.29,2.27,-112.92
FeelMyRiver,50,12.5,0,-16.04
FeelMySquirt,43.75,12.5,0,-22.39
FeFranco,59.18,48.98,36,-86.87
Fejhoa,36.73,22.13,8.44,1257.56
FEJLATI,58.49,21.13,6.06,175.94
fejztina,64.52,29.03,7.69,11.16
Fel1x1llo,29.94,17,7.66,-167.73
feliceko,31.96,20.42,7.2,-30.99
FelixKramer1,63.64,27.27,9.09,-34.23
fellostp,14.29,14.29,0,2.35
Felt_Master1,25.93,11.11,0,-8.56
felter1989,50.91,31.42,16.52,-231.46
fenerbahc313,38.91,19.45,1.38,73.88
fenix1104,40.74,29.63,0,-39.01
Fentguita,36.49,20.27,10.81,-207.69
FeriBo,28.28,21.21,9.38,56.39
fermat19,81.58,47.81,34.26,-22.43
FerMorhy,74.16,46.07,20.93,91.58
fernandes$J9,53.45,18.62,10.31,-192.63
fernandogiac,82.52,37.06,5.48,293.15
FERQUIH,56.67,26.29,10.94,-449.28
Ferrarinha A,90,60,40,-105.18
ferrostyle,37.5,20.61,4.9,-267.96
fertich73,71.43,28.57,33.33,-8.18
fertity,54.17,29.17,4,-31.57
Fettot55,40,40,0,4.85
Feyenoord0020,75,25,0,-21.19
fezndrescher,55.77,6.73,0,126.46
FFÙFF,50,33.33,33.33,40.21
fiddlernorth,45.95,31.53,10.42,-11.34
fightclub999,0,0,0,-1.5
FiKO0,44.44,11.11,4.55,16.65
fikri81,66.09,7.83,4.76,39.77
Fiks,56,24,9.09,66.08
fila1409,100,0,0,-3.5
filipmac,84.68,21.62,2.56,-289.58
filletofish,36.36,27.27,20,35.79
FilRoyale888,34.88,4.65,0,-43.18
filushh,34.12,22.35,2.7,-3.05
FinalSleep,38.34,20.31,8.17,1575.72
finnflyer,100,68.75,44.44,-120.39
Firas0,59.61,14.9,4.04,-182.97
Firefly7705,46.88,29.17,9.52,-23.57
FIREZU,31.67,16.25,2.68,-86.02
firstpot76,44.74,23.68,0,55.18
FiRsTPrDaToR,39.58,24.48,13.27,-176.82
Fish19751975,26.39,16.03,6.49,-113.95
Fish_you_out,63.52,34.67,8.47,-70.18
fishandchill,0,0,0,0
fisherman944,62.26,0,0,32.84
fishfatal,100,61.54,20,-29.88
fishnutsééé,100,57.14,25,-85.18
fishontilt13,40,0,0,-23.92
fishplay245,19.32,7.95,0,66.74
fishycall,75,75,50,-29.98
fiskak19,60.78,23.53,12.5,-18.12
Fisto1987,54.55,39.39,8.33,73.35
fitzsem,20.59,7.35,3.03,-114.02
fixfixfix,51.47,22.79,6.57,-164.69
fjellmann,73.81,4.76,0,-44.8
fjellsko,100,0,33.33,17.39
fjutekk,35.98,20.78,10.51,-615.23
FK71,51.79,13.69,0,97.78
fkiw,13.79,3.45,7.69,-0.28
fkmbrat,29.27,21.95,0,-73.79
flaksorado,59,22.22,9.62,-228.64
flamingo2400,80.36,17.86,5.13,-136.37
Flashed-AA,41.18,11.76,0,40.56
FLATC@T,33.77,19.28,8.75,1482.21
FlatCallOnly,44.44,14.81,0,-123.8
Flavia1203,50,15,0,57.61
flavour-fabi,49.82,14.84,2.85,256.41
fletdgek,68.42,15.79,10.53,-24.57
flex331969,14.29,14.29,0,16.39
FLEXXXXX99,33.33,33.33,50,4.04
flinck,28,12,9.09,-19.6
flonder17,100,100,100,-49.63
flong78,31.6,18.23,7.58,-1171.48
Floods1,35.59,15.25,0,-0.28
FlopnutsINC,48.98,25,13.04,-106.65
flopper0,39.47,21.1,7.38,261.95
Florentina05,60,14.74,6.86,-204.04
flounder18,29.57,17.91,7.89,-42.92
Flowerbunny,21.04,8.07,9.15,795.43
fluff2083,72.22,5.56,6.25,-46.47
FluffyGarden,28.07,15.79,6.9,-39.9
fluglejuice,30.68,11.36,1.16,-179.92
fluo_yellow,100,0,0,-48.18
flush_entry,46.81,17.02,0,41.38
flushlights,0,0,0,3.7
Flykting87,71.43,28.57,0,-47.7
flyslikeg6,65.94,39.54,10.53,-339.21
FMagnifico89,33.33,16.67,0,-14.92
fmak18,41.28,13.12,4.02,-1086.2
fmatrixx,36.97,20,9.23,-151.56
fmc123456789,100,62.5,0,-53.06
fmotaban,74.13,20.98,7.23,-387.78
FNickel,84.8,30.43,9.97,-10088.63
fofo1234446,58.73,9.52,2.63,48.78
Fokenlol,42.11,26.32,20,-49.56
FoldDark,25.94,13.5,5.87,-369.81
Foldomaha,41.18,29.41,0,10.24
folmyer,32.33,7.76,6.96,-236.37
fondler,46.47,29.37,9.38,470.57
fongchaopei,45.17,23.87,8.39,-614.75
Fongchaopeii,43.18,18.18,7.69,115.79
Fonsemand,84.85,24.24,5.41,-91.51
Fonte_XX16,65.85,6.5,2.6,-129.29
FooFighterBT,41.67,8.33,0,4.56
foresthu2013,44.95,23.26,1.92,-206.38
ForMe?thanks,40,5,2.94,-0.59
ForrestFlush,46.29,26.89,10,-1531.18
FORZA MIKE,71.43,50,0,-42.47
forzakif,79.75,32.64,15.71,-137.88
foster70nn,78.13,20,2.02,-190.17
fotiou.f430,43.44,7.38,2.94,-110.83
fotvift,68.69,38.38,25.53,-30.42
Foubjecand,83.33,0,0,-6.2
Foursheep,14.81,9.26,4.76,89.6
FourSixFour,40,20,0,34.3
fov110,27.68,16.96,2,48.54
Fox kloun,82.47,41.24,8.16,-19.18
FoxDownUnder,64.38,2.74,0,-30.84
foxlarge,31.58,13.16,5.26,-23.98
foxlndr,43.48,19.57,3.7,-16.01
Foyer3349,41.67,6.25,6,-73.52
FPSTAG,100,100,100,1.38
fragnionu,53.45,4.03,2.44,-803.12
fragunit112,57.8,38.53,13.33,44.49
FranB821,68.75,54.17,30,-101.68
francis764,25.82,9,2.96,95.24
Francix,39.44,28.17,0,-12.33
FrancoG67,0,0,0,-1
FRANK P EYE,27.27,0,0,-43.06
frankchef85,55.88,13.24,2.7,-143.64
frankxia,43.26,21.05,8.12,-1945.05
FrannciscoRM,63.27,2.04,4,-38.02
FranTick,50,10,0,-62.32
franzp7,73.08,21.79,0,71.44
fraps400,65,30,15.38,-0.51
fratssss,23.33,6.67,0,24.56
Frau_Fu,35.29,5.88,0,1.78
frazmac,44.52,26.58,9.15,-177.84
freak_s0und,64.29,35.71,0,-109.43
frecknol,33.52,17.09,8.54,1192.41
Fredaooo,28.6,15.48,6.53,-505.95
freddafredia,69.84,46.03,13.21,-294.54
FreddyLBS,35.42,18.75,8.7,-41.33
fredhung,18.18,9.09,0,-84.67
fredrick80,27.27,9.09,0,-26.16
fredrikf91,29.44,16.67,2.53,131.18
fredrikpajen,50.35,21.99,14.29,44.28
free franny,87.5,62.5,30,9.13
FREELANCER9,75,16.67,11.11,-26.19
Freesurf888,54.22,16.67,5.28,-37.82
frenchice.lb,48.21,22.32,5.77,29.24
Fresh_oO_D,45.45,23.59,10.34,2010.15
freshleo111,30.1,18.2,7.63,9802.12
freshskip37,66.67,50,0,0.5
freust,53.64,24.64,11.58,-830.91
Frida24,48.39,6.45,0,80.66
Frik-C-Chic,0,0,0,-1.5
Frimble11,66.67,66.67,0,32.69
fring2013,37.3,22.13,9.61,124.35
Frings27,100,0,0,-42.5
Frisco119,45.87,26.61,8.28,-32.21
friskipot,85.94,23.44,6.67,209
Fritz17917,65.29,40,12.36,-226.02
FROM_ABOVE,52.2,30.57,17.89,-94.37
fromda6,72.77,27.66,16.99,-665.62
Frufo,46.3,20.63,4.82,-387.46
FruStark1,80.96,30.05,5.93,-271.78
frut12,61.9,8.06,2.33,-158.87
fs2f,50.23,28.57,10.48,-362.6
fsukhera,50,12.28,1.61,-117.91
fsv11,51.9,27.22,5.13,69.97
ftorek,83.33,0,0,-77.2
Fukasp,76.81,28.99,5.13,-47.21
fullmagro_ps,44.83,17.24,7.85,103.23
fullmoonLA,26.03,13.24,3.16,-88.46
Fullytilt88,53.61,27,12.6,-218.14
Fum13r,60,20,0,-7.55
fun nino,54.55,31.82,0,-35.1
funchasser,37.14,17.14,0,2.71
funnyboy71,44.24,9.43,3.21,-120.07
FURaU,41.67,29.17,9.09,-12.07
Furtdeck,64.53,8.54,5.78,-181.97
Futures888,26.67,0,0,3.25
fwilliams007,14.29,14.29,18.18,-9.77
Fylleborje,50,17.19,5.88,13.57
FYYDNZAA,27.89,18.37,9.38,-71.2
fætterfisker,60.37,21.95,4.52,-91.52
G's zee,39.93,22.15,4.23,35.75
g-n Croupier,53.66,21.95,0,-23.57
g-u-rrr362,50,50,100,-34.43
G.Huntington,34.31,24.51,6.82,133.82
g0lfa,36.47,20.3,12.4,-172.23
g33x,40.07,25.96,11.72,-760.19
g8lit,80,20,0,-25.36
g_kafouros,38.56,9.48,2.58,409.43
gAAoChAAo,50,35,12.5,-163.95
Gabden777,33.33,0,0,-16.18
Gabegnagare,34.88,23.26,6.25,-67.42
Gabi,52.51,27.1,7.65,-346.53
gabrii23,100,0,0,-62.5
Gaddiction,86.96,60.87,28.57,-69.74
GAFUROVNA D,50,50,66.67,-41.95
gagadim,55.32,20.78,10.69,-241.58
Gaggila,43.75,34.38,15.38,-57.14
gagush87,41.67,16.67,7.14,-12.91
GAHIBAJI133,93.75,31.25,0,27.33
GAIkokuJIN1,37.5,31.25,14.29,87.33
gal12,52.68,19.2,1.64,-195.48
Gal162,49.4,15.26,3.05,-200.43
Galcho,48.26,25.11,9.72,57.06
GalesRule,63.64,27.27,25,-116.34
galex60,91.43,34.29,0,-154.71
gallo1515,25,12.5,0,-7.13
gallon2,30,10,0,-42.26
gallote75,51.93,11.41,4.8,-1373.08
galo_pb,45,15,0,17.1
gambino5585,23.53,11.76,0,71.68
gambler6868,35.82,17.91,0,40.68
Gameking51,32.19,22.6,17.24,-147.44
gametheoryAA,44.44,40.74,38.46,-127.36
gamikos1111,67.66,41.92,20.83,-52.66
gandhi793,65.45,3.64,0,66.91
ganno7,37.5,25,16.67,-83.98
GARETHNAGLE,57.14,28.57,0,36.43
Gargamel_kz,51.22,24.39,13.64,-32
Garik9999999,50.19,11.97,7.59,-624.93
Garni11993,71.43,42.86,22.22,-44.65
garompon,61.01,37.16,14.29,-510.2
garrincho54,20,20,0,-3
Garry763,20.69,10.34,9.09,68.71
Garsonich,39.6,21.62,0,142.33
Garvela,66.67,66.67,0,-28.65
gataki13,40,40,0,2.86
Gavin_SK,66.67,22.22,12.5,-36.15
gavz101,35.15,18.87,8.76,1267.07
Gay_On_Tse,29.23,14.62,6.06,-61.17
Gaymin,42.41,17.8,9.38,154.25
GC Gal820,41.18,29.41,0,57.73
gc101,0,0,0,-1.5
GD1565043,65.45,16.36,9.38,-116.49
GdTimez,54.55,31.82,36.67,-224.25
ge_bort,36.84,22.81,8,-41.25
Geejowaper,57.78,28.89,14.29,-85.38
GeilAufHouse,50.76,20.03,11.85,-236.37
Geld Held,35,16.32,5.24,22.92
geld her 303,47.24,26.04,4.64,-934.32
genaro09,33.33,6.67,14.29,7.21
genco2007599,58.06,33.87,4.35,-3.99
GENERRRRRAL,23.08,15.38,7.14,-28.28
genghis88,38.98,11.86,6.45,30.64
Genil11,57.89,26.32,14.29,-44.07
GENIN70,50.49,35.92,17.02,111.47
Genius28,27.08,14.58,4.55,-96.71
geoffowen,30.84,17.21,6.85,-240.18
geprge,23.32,9.48,4.44,169.72
Gerd1Sch,42.86,9.52,0,14.38
germanpush,68,21.75,9.68,-96.13
GEROK29,31.15,18.85,10.2,-183.62
gerryman444,100,0,0,-45.13
gertman0,42.86,25.71,20,39.95
geskefar,60,50,66.67,-48.57
Gessanhlf,50,19.64,0,38.98
get2siva1985,61.22,0,0,1.47
GETURCRAYON,33.72,18.2,7.56,255.94
GG010185,89.53,34.88,6.48,-90.18
GGFish01,44.94,13.48,6.67,124.87
GGGYFI,66.67,33.33,0,20.75
GGoldjunge,20,12,0,14.97
GH0ST_CHIPS,70,50,40,-32.3
ghardy.b,66.67,16.67,0,-66.98
ghost crab,34.16,21.88,8.39,305.7
Ghost7715,28.57,12.5,0,-228.25
giftmyra,42.86,28.57,0,-48.94
GIGANOTASAUR,38.46,3.3,2.08,-18.58
Gilbert978,72.11,37.44,10.96,-808.41
GILBERTO RBO,66.83,20.3,4.63,-66.99
gilberto929,59.91,7.08,5.19,-266.76
gilouzi,65.31,22.45,0,-149.46
gimpshow,41.75,19.42,5.66,-106.87
gio_pot7,58.93,34.17,10.71,-349.41
gioxari,80,66.67,42.86,-4.63
GIPSY444,48.23,8.51,1.09,-86.91
girishutg,39.24,10.76,4.88,38.84
Girl.ua,46.6,14.67,1.42,-163.03
GirlsBaby,88.46,26.92,11.11,-146.39
gisle64,66.67,16.67,25,-21.7
GitRDone444,55.17,17.24,11.76,-12
gitti111,48.65,17.91,3.03,-638.34
giuliano2424,63.45,25.39,10.08,-357.6
giuseppedipi,100,0,0,-6.05
Gizzmoen,63.64,18.18,12.5,-42
GJH32,50.35,30.77,19.3,-204.1
Gjiksi777,89.23,29.23,7.14,-114.33
GJO88,24,12,8.33,-47.97
gkaliats,88.16,17.11,8.51,-308.58
GKPIRITO,46.15,15.38,0,-56.1
GL84,100,100,0,-17.23
Glacier11568,18.92,13.51,2.33,2.37
Gladi3,36,24,20,-20.32
Gladies86,38.89,16.67,0,71.81
gladjeflikka,72.73,18.18,16.67,-26.42
glam6300,87.18,64.1,16.67,-32.81
Glamur Boss,53.73,28.77,9.09,-189.61
glassguy1,52.63,21.05,0,-77.45
Gleb26,44.72,30.89,8,-110.18
Gleiciane19,52.49,23.06,11.43,-179.23
Glenmorangie,60,40,25,9.88
Glenn_Dysja,86.32,30.53,7.89,-177.98
globus07roma,74.07,37.04,0,46.29
globus999,31.67,18.33,0,-31.39
Glos6,47.06,1.96,0,-67.8
glosik,44.01,18.66,8.29,-5.03
Gluepy,64.44,10.22,8.47,-264.54
gmasters2013,62.5,25,0,122.77
Gmelkonyan,41.01,25.82,6.02,246.2
gnat777,31.02,20.03,10.71,-51.51
GNuERAgrindr,50,0,0,-1.5
go mr bison,66.67,35.71,3.85,-112.31
go1x1i'mcr8,71.19,38.98,10.34,-105.68
